,ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,Month-Year,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,YEAR,MONTH
18,10318,46,94.74,1,"$4,358.04",2004-11-02,Shipped,4,11-2004,Motorcycles,$95.00,S10_1678,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,,Yu,Kyung,Medium,2004,11
19,10329,42,100.0,1,"$4,396.14",2004-11-15,Shipped,4,11-2004,Motorcycles,$95.00,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,Medium,2004,11
20,10341,41,100.0,9,"$7,737.93",2004-11-24,Shipped,4,11-2004,Motorcycles,$95.00,S10_1678,Salzburg Collectables,65629555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Large,2004,11
21,10361,20,72.55,13,"$1,451.00",2004-12-17,Shipped,4,12-2004,Motorcycles,$95.00,S10_1678,Souveniers And Things Co.,0061294958555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small,2004,12
22,10375,21,34.91,12,$733.11,2005-02-03,Shipped,1,2-2005,Motorcycles,$95.00,S10_1678,La Rochelle Gifts,40678555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Small,2005,2
23,10388,42,76.36,4,"$3,207.12",2005-03-03,Shipped,1,3-2005,Motorcycles,$95.00,S10_1678,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,,Benitez,Violeta,Medium,2005,3
24,10403,24,100.0,7,"$2,434.56",2005-04-08,Shipped,2,4-2005,Motorcycles,$95.00,S10_1678,"UK Collectables, Ltd.",1715552282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Small,2005,4
25,10417,66,100.0,2,"$7,516.08",2005-05-13,Disputed,2,5-2005,Motorcycles,$95.00,S10_1678,Euro Shopping Channel,915559444,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large,2005,5
26,10103,26,100.0,11,"$5,404.62",2003-01-29,Shipped,1,1-2003,Classic Cars,$214.00,S10_1949,Baane Mini Imports,07989555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,2003,1
27,10112,29,100.0,1,"$7,209.11",2003-03-24,Shipped,1,3-2003,Classic Cars,$214.00,S10_1949,"Volvo Model Replicas, Co",0921123555,Berguvsvgen  8,,Lule,,S-958 22,Sweden,EMEA,Berglund,Christina,Large,2003,3
28,10126,38,100.0,11,"$7,329.06",2003-05-28,Shipped,2,5-2003,Classic Cars,$214.00,S10_1949,"Corrida Auto Replicas, Ltd",915552282,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Mart¡n,Large,2003,5
29,10140,37,100.0,11,"$7,374.10",2003-07-24,Shipped,3,7-2003,Classic Cars,$214.00,S10_1949,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri,Large,2003,7
30,10150,45,100.0,8,"$10,993.50",2003-09-19,Shipped,3,9-2003,Classic Cars,$214.00,S10_1949,"Dragon Souveniers, Ltd.",00652217555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan,Natividad,Eric,Large,2003,9
31,10163,21,100.0,1,"$4,860.24",2003-10-20,Shipped,4,10-2003,Classic Cars,$214.00,S10_1949,Classic Legends Inc.,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,,Hernandez,Maria,Medium,2003,10
32,10174,34,100.0,4,"$8,014.82",2003-11-06,Shipped,4,11-2003,Classic Cars,$214.00,S10_1949,"Australian Gift Network, Co",61738446555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Large,2003,11
33,10183,23,100.0,8,"$5,372.57",2003-11-13,Shipped,4,11-2003,Classic Cars,$214.00,S10_1949,"Classic Gift Ideas, Inc",2155554695,782 First Street,,Philadelphia,PA,71270,USA,,Cervantes,Francisca,Medium,2003,11
34,10194,42,100.0,11,"$7,290.36",2003-11-25,Shipped,4,11-2003,Classic Cars,$214.00,S10_1949,"Saveley & Henriot, Co.",78325555,"2, rue du Commerce",,Lyon,,69004,France,EMEA,Saveley,Mary,Large,2003,11
35,10206,47,100.0,6,"$9,064.89",2003-12-05,Shipped,4,12-2003,Classic Cars,$214.00,S10_1949,Canadian Gift Exchange Network,6045553392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada,,Tannamuri,Yoshi,Large,2003,12
36,10215,35,100.0,3,"$6,075.30",2004-01-29,Shipped,1,1-2004,Classic Cars,$214.00,S10_1949,West Coast Collectables Co.,3105553722,3675 Furth Circle,,Burbank,CA,94019,USA,,Thompson,Steve,Medium,2004,1
37,10228,29,100.0,2,"$6,463.23",2004-03-10,Shipped,1,3-2004,Classic Cars,$214.00,S10_1949,Cambridge Collectables Co.,6175555555,4658 Baden Av.,,Cambridge,MA,51247,USA,,Tseng,Kyung,Medium,2004,3
38,10245,34,100.0,9,"$6,120.34",2004-05-04,Shipped,2,5-2004,Classic Cars,$214.00,S10_1949,Super Scale Inc.,2035559545,567 North Pendale Street,,New Haven,CT,97823,USA,,Murphy,Leslie,Medium,2004,5
39,10258,32,100.0,6,"$7,680.64",2004-06-15,Shipped,2,6-2004,Classic Cars,$214.00,S10_1949,"Tokyo Collectables, Ltd",0081335840555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Large,2004,6
40,10270,21,100.0,9,"$4,905.39",2004-07-19,Shipped,3,7-2004,Classic Cars,$214.00,S10_1949,Souveniers And Things Co.,0061294958555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium,2004,7
41,10280,34,100.0,2,"$8,014.82",2004-08-17,Shipped,3,8-2004,Classic Cars,$214.00,S10_1949,Amica Models & Co.,0114988555,Via Monte Bianco 34,,Torino,,10100,Italy,EMEA,Accorti,Paolo,Large,2004,8
42,10291,37,100.0,11,"$7,136.19",2004-09-08,Shipped,3,9-2004,Classic Cars,$214.00,S10_1949,Scandinavian Gift Ideas,0695346555,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,Large,2004,9
43,10304,47,100.0,6,"$10,172.70",2004-10-11,Shipped,4,10-2004,Classic Cars,$214.00,S10_1949,Auto Assoc. & Cie.,30598555,"67, avenue de l'Europe",,Versailles,,78000,France,EMEA,Tonini,Daniel,Large,2004,10
44,10312,48,100.0,3,"$11,623.70",2004-10-21,Shipped,4,10-2004,Classic Cars,$214.00,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,Large,2004,10
45,10322,40,100.0,1,"$6,000.40",2004-11-04,Shipped,4,11-2004,Classic Cars,$214.00,S10_1949,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,,Young,Valarie,Medium,2004,11
46,10333,26,100.0,3,"$3,003.00",2004-11-18,Shipped,4,11-2004,Classic Cars,$214.00,S10_1949,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie,Medium,2004,11
47,10347,30,100.0,1,"$3,944.70",2004-11-29,Shipped,4,11-2004,Classic Cars,$214.00,S10_1949,"Australian Collectors, Co.",0395204555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,2004,11
48,10357,32,100.0,10,"$5,691.84",2004-12-10,Shipped,4,12-2004,Classic Cars,$214.00,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,Medium,2004,12
49,10369,41,100.0,2,"$4,514.92",2005-01-20,Shipped,1,1-2005,Classic Cars,$214.00,S10_1949,Collectables For Less Inc.,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA,,Nelson,Allen,Medium,2005,1
50,10381,36,100.0,3,"$8,254.80",2005-02-17,Shipped,1,2-2005,Classic Cars,$214.00,S10_1949,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,Large,2005,2
51,10391,24,100.0,4,"$2,416.56",2005-03-09,Shipped,1,3-2005,Classic Cars,$214.00,S10_1949,"Anna's Decorations, Ltd",0299368555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small,2005,3
52,10411,23,100.0,9,"$4,140.23",2005-05-01,Shipped,2,5-2005,Classic Cars,$214.00,S10_1949,Quebec Home Shopping Network,5145558054,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada,,Fresnisre,Jean,Medium,2005,5
53,10424,50,100.0,6,"$12,001.00",2005-05-31,In Process,2,5-2005,Classic Cars,$214.00,S10_1949,Euro Shopping Channel,915559444,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large,2005,5
54,10107,39,99.91,5,"$3,896.49",2003-02-24,Shipped,1,2-2003,Motorcycles,$118.00,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,Medium,2003,2
55,10120,29,96.34,3,"$2,793.86",2003-04-29,Shipped,2,4-2003,Motorcycles,$118.00,S10_2016,"Australian Collectors, Co.",0395204555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Small,2003,4
56,10134,27,100.0,5,"$3,307.77",2003-07-01,Shipped,3,7-2003,Motorcycles,$118.00,S10_2016,Lyon Souveniers,0033146627555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Medium,2003,7
57,10145,37,100.0,9,"$5,192.95",2003-08-25,Shipped,3,8-2003,Motorcycles,$118.00,S10_2016,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,,Young,Julie,Medium,2003,8
58,10159,37,100.0,17,"$5,016.83",2003-10-10,Shipped,4,10-2003,Motorcycles,$118.00,S10_2016,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,Medium,2003,10
59,10168,27,100.0,4,"$3,660.93",2003-10-28,Shipped,4,10-2003,Motorcycles,$118.00,S10_2016,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri,Medium,2003,10
60,10180,42,100.0,12,"$4,695.60",2003-11-11,Shipped,4,11-2003,Motorcycles,$118.00,S10_2016,Daedalus Designs Imports,20161555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Martine,Medium,2003,11
61,10188,38,96.34,4,"$3,660.92",2003-11-18,Shipped,4,11-2003,Motorcycles,$118.00,S10_2016,Herkku Gifts,004722673215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Medium,2003,11
62,10201,24,100.0,5,"$3,025.92",2003-12-01,Shipped,4,12-2003,Motorcycles,$118.00,S10_2016,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie,Medium,2003,12
63,10210,23,100.0,2,"$3,009.09",2004-01-12,Shipped,1,1-2004,Motorcycles,$118.00,S10_2016,Osaka Souveniers Co.,00810663425555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium,2004,1
64,10223,47,100.0,4,"$5,422.39",2004-02-20,Shipped,1,2-2004,Motorcycles,$118.00,S10_2016,"Australian Collectors, Co.",0395204555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,2004,2
65,10236,22,100.0,1,"$2,852.08",2004-04-03,Shipped,2,4-2004,Motorcycles,$118.00,S10_2016,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,USA,,Hernandez,Rosa,Small,2004,4
66,10251,44,100.0,5,"$5,756.52",2004-05-18,Shipped,2,5-2004,Motorcycles,$118.00,S10_2016,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,,Brown,William,Medium,2004,5
67,10263,40,100.0,5,"$4,472.00",2004-06-28,Shipped,2,6-2004,Motorcycles,$118.00,S10_2016,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,,King,Julie,Medium,2004,6
68,10275,22,100.0,4,"$2,904.44",2004-07-23,Shipped,3,7-2004,Motorcycles,$118.00,S10_2016,La Rochelle Gifts,40678555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Small,2004,7
69,10285,47,100.0,9,"$6,484.59",2004-08-27,Shipped,3,8-2004,Motorcycles,$118.00,S10_2016,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,,Hernandez,Marta,Medium,2004,8
70,10298,39,96.34,1,"$3,757.26",2004-09-27,Shipped,3,9-2004,Motorcycles,$118.00,S10_2016,Atelier graphique,40322555,"54, rue Royale",,Nantes,,44000,France,EMEA,Schmitt,Carine,Medium,2004,9
71,10308,34,100.0,2,"$4,043.96",2004-10-15,Shipped,4,10-2004,Motorcycles,$118.00,S10_2016,Mini Classics,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,,Frick,Steve,Medium,2004,10
72,10318,45,100.0,4,"$5,566.50",2004-11-02,Shipped,4,11-2004,Motorcycles,$118.00,S10_2016,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,,Yu,Kyung,Medium,2004,11
73,10329,20,100.0,2,"$3,176.00",2004-11-15,Shipped,4,11-2004,Motorcycles,$118.00,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,Medium,2004,11
74,10339,40,68.92,4,"$2,756.80",2004-11-23,Shipped,4,11-2004,Motorcycles,$118.00,S10_2016,"Tokyo Collectables, Ltd",0081335840555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Small,2004,11
75,10361,26,51.15,8,"$1,329.90",2004-12-17,Shipped,4,12-2004,Motorcycles,$118.00,S10_2016,Souveniers And Things Co.,0061294958555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small,2004,12
76,10374,39,100.0,5,"$5,288.01",2005-02-02,Shipped,1,2-2005,Motorcycles,$118.00,S10_2016,"Australian Gift Network, Co",61738446555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium,2005,2
77,10388,50,44.51,5,"$2,225.50",2005-03-03,Shipped,1,3-2005,Motorcycles,$118.00,S10_2016,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,,Benitez,Violeta,Small,2005,3
78,10402,45,100.0,1,"$5,833.80",2005-04-07,Shipped,2,4-2005,Motorcycles,$118.00,S10_2016,Auto Canal Petit,147556555,"25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Dominique,Medium,2005,4
79,10417,45,100.0,5,"$5,887.35",2005-05-13,Disputed,2,5-2005,Motorcycles,$118.00,S10_2016,Euro Shopping Channel,915559444,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium,2005,5
80,10107,27,100.0,4,"$6,065.55",2003-02-24,Shipped,1,2-2003,Motorcycles,$193.00,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,Medium,2003,2
81,10120,46,100.0,2,"$9,264.86",2003-04-29,Shipped,2,4-2003,Motorcycles,$193.00,S10_4698,"Australian Collectors, Co.",0395204555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Large,2003,4
82,10134,31,100.0,4,"$7,023.98",2003-07-01,Shipped,3,7-2003,Motorcycles,$193.00,S10_4698,Lyon Souveniers,0033146627555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Large,2003,7
83,10145,33,100.0,8,"$5,176.38",2003-08-25,Shipped,3,8-2003,Motorcycles,$193.00,S10_4698,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,,Young,Julie,Medium,2003,8
84,10159,22,100.0,16,"$4,132.70",2003-10-10,Shipped,4,10-2003,Motorcycles,$193.00,S10_4698,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,Medium,2003,10
85,10168,20,100.0,3,"$4,183.00",2003-10-28,Shipped,4,10-2003,Motorcycles,$193.00,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri,Medium,2003,10
86,10180,41,100.0,11,"$8,892.90",2003-11-11,Shipped,4,11-2003,Motorcycles,$193.00,S10_4698,Daedalus Designs Imports,20161555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Martine,Large,2003,11
87,10188,45,100.0,3,"$8,714.70",2003-11-18,Shipped,4,11-2003,Motorcycles,$193.00,S10_4698,Herkku Gifts,004722673215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Large,2003,11
88,10201,49,100.0,4,"$8,065.89",2003-12-01,Shipped,4,12-2003,Motorcycles,$193.00,S10_4698,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie,Large,2003,12
89,10210,34,100.0,1,"$6,123.40",2004-01-12,Shipped,1,1-2004,Motorcycles,$193.00,S10_4698,Osaka Souveniers Co.,00810663425555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium,2004,1
90,10223,49,100.0,3,"$9,774.03",2004-02-20,Shipped,1,2-2004,Motorcycles,$193.00,S10_4698,"Australian Collectors, Co.",0395204555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Large,2004,2
91,10237,39,100.0,9,"$7,023.90",2004-04-05,Shipped,2,4-2004,Motorcycles,$193.00,S10_4698,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,,Frick,Michael,Large,2004,4
92,10251,43,100.0,4,"$7,078.23",2004-05-18,Shipped,2,5-2004,Motorcycles,$193.00,S10_4698,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,,Brown,William,Large,2004,5
93,10263,41,100.0,4,"$8,336.94",2004-06-28,Shipped,2,6-2004,Motorcycles,$193.00,S10_4698,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,,King,Julie,Large,2004,6
94,10275,36,100.0,3,"$6,901.92",2004-07-23,Shipped,3,7-2004,Motorcycles,$193.00,S10_4698,La Rochelle Gifts,40678555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Medium,2004,7
95,10285,27,100.0,8,"$5,438.07",2004-08-27,Shipped,3,8-2004,Motorcycles,$193.00,S10_4698,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,,Hernandez,Marta,Medium,2004,8
96,10299,29,100.0,11,"$6,683.34",2004-09-30,Shipped,3,9-2004,Motorcycles,$193.00,S10_4698,"Toys of Finland, Co.",902248555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Medium,2004,9
97,10308,20,100.0,1,"$4,570.40",2004-10-15,Shipped,4,10-2004,Motorcycles,$193.00,S10_4698,Mini Classics,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,,Frick,Steve,Medium,2004,10
98,10318,37,100.0,3,"$7,667.14",2004-11-02,Shipped,4,11-2004,Motorcycles,$193.00,S10_4698,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,,Yu,Kyung,Large,2004,11
99,10329,26,100.0,3,"$5,868.20",2004-11-15,Shipped,4,11-2004,Motorcycles,$193.00,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,Medium,2004,11
100,10339,39,76.67,3,"$2,990.13",2004-11-23,Shipped,4,11-2004,Motorcycles,$193.00,S10_4698,"Tokyo Collectables, Ltd",0081335840555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Small,2004,11
101,10362,22,100.0,4,"$3,664.10",2005-01-05,Shipped,1,1-2005,Motorcycles,$193.00,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri,Medium,2005,1
102,10374,22,100.0,1,"$3,834.38",2005-02-02,Shipped,1,2-2005,Motorcycles,$193.00,S10_4698,"Australian Gift Network, Co",61738446555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium,2005,2
103,10388,21,86.77,7,"$1,822.17",2005-03-03,Shipped,1,3-2005,Motorcycles,$193.00,S10_4698,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,,Benitez,Violeta,Small,2005,3
104,10403,66,100.0,9,"$11,886.60",2005-04-08,Shipped,2,4-2005,Motorcycles,$193.00,S10_4698,"UK Collectables, Ltd.",1715552282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Large,2005,4
105,10417,56,100.0,4,"$9,218.16",2005-05-13,Disputed,2,5-2005,Motorcycles,$193.00,S10_4698,Euro Shopping Channel,915559444,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large,2005,5
106,10105,50,100.0,2,"$7,208.00",2003-02-11,Shipped,1,2-2003,Classic Cars,$136.00,S10_4757,Danish Wholesale Imports,31123555,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte,Large,2003,2
107,10119,46,100.0,11,"$5,004.80",2003-04-28,Shipped,2,4-2003,Classic Cars,$136.00,S10_4757,Salzburg Collectables,65629555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Medium,2003,4
108,10129,33,100.0,2,"$4,398.24",2003-06-12,Shipped,2,6-2003,Classic Cars,$136.00,S10_4757,"Stylish Desk Decors, Co.",1715550297,35 King George,,London,,WX3 6FW,UK,EMEA,Brown,Ann,Medium,2003,6
